ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.6680514109257549,0.5804780713107806,0.3815308090501088,0.48163726414825253,0.6178909121730316,0.4181291089525618,0.3366545029482784,,0.36836153612503636,1.0
0.5800895482548935,0.5546831089244159,0.4119735779396516,0.48498238673997424,0.5257801894599362,0.4030771351188342,0.39154632937107264,0.4788596149445486,0.5631143283553304,0.0
0.43087063592142333,0.5549263508537139,0.5346119900003974,0.4825455129441764,0.6335205266933507,0.2946503576307505,0.45612341240732346,0.3459201356957587,0.37319561755666425,0.0
0.6023887931552087,0.6435590769646591,0.20543898092630364,0.4561640603381258,0.5639658955680215,0.4028374995141429,0.5823917960059405,0.5855762950835727,0.44899492112813605,1.0
,0.5094137062880417,0.4796169648139707,0.5971848844567108,0.41329753153249627,0.5030058641826542,0.5352188392150308,0.634319799305983,0.5930702133879968,0.0
0.6273997594304426,0.5531472744305286,0.31442621665908466,0.5529084565490703,0.541819337417408,0.2508543346249343,0.5406780213315512,0.5989889893363286,0.38209215798804713,1.0
,0.5302928132441975,0.30263344278310206,0.652290541605054,0.5634186751503844,0.5186925597161913,0.42041768394184087,0.42134605582052226,0.17459589599711467,0.0
0.33574233741720944,0.5365437056909825,0.5729393899121962,0.5923352767328749,0.5859699453564582,0.6259951812785363,0.29321014874127893,0.519083989960075,0.3841829638884022,0.0
0.729282557002237,0.3661594634342148,0.297049205948535,0.5523262022226296,0.7431711386708184,0.40059607676953973,0.494391737328284,0.7174999960625985,0.503421771913074,0.0
0.4732865845768076,0.23528969096980243,0.4189873792816439,0.57195670278656,0.5205428764619172,0.2548956279669247,0.6593542743351343,0.6899701679212309,0.5188718338637541,0.0
0.5400280016307374,0.6376690293674635,0.2367265284722563,0.4993824403618294,0.6903629386528669,0.5243566864970959,0.25672064105359954,0.49809576942587763,0.5308763675963384,1.0
0.5114619450577672,0.4920611045584522,0.10544735714496714,0.2701398374636387,0.4221197837996504,0.43114237656898885,0.29117335975528913,0.7244517667539121,0.4603688871520664,0.0
0.5270426440184758,0.4662828341376698,0.15005651332019163,0.4374960350791959,,0.3856479354878252,0.5149216384825299,0.2973459104942608,0.333752970921017,1.0
0.5322777699436971,0.5650083629967722,0.2545590821162908,0.5011540115074228,,0.2928504906528118,0.34080070852222205,0.7362779053067975,0.46891298185277314,0.0
0.4688111854883732,0.7031554164881231,0.9194399793956035,0.3924506911716961,,0.4097749970070667,0.3621428862956368,0.5670818931351199,0.7265929629885424,1.0
